zip_code,latino_percentage,non_white_latino_percentage,median_income
90240,0.7388028622269337,0.23204482641123692,34807
92236,0.9717439584845087,0.7100512346900631,21311
91752,0.6338600324984591,0.30848321846808985,30179
91763,0.7114479067493503,0.3470653320639169,24415
91731,0.6410561842366488,0.30828535503937526,20308
91733,0.7545244130937948,0.36563429957015325,21394
91768,0.7360972976045012,0.39032707226279445,20588
91345,0.6983546617915904,0.40266388090885347,27019
91402,0.7202847666495511,0.46986497175925285,21536
91723,0.6534204416608175,0.28486582797905086,29869
91744,0.8238021095515154,0.47018882944475016,24480
91746,0.8302534585479148,0.47130499175334073,24652
91762,0.7048510969247221,0.38855763310541497,26572
92335,0.8395968018045233,0.641199927496828,22581
92505,0.6245636425059119,0.24415374798243306,27801
92408,0.6052071873854052,0.15460212687935465,20971
92509,0.7280267377707875,0.4106140102969908,25785
92227,0.8190812460921696,0.13376733237706417,18219
92249,0.9839715048975958,0.2053173896450834,18832
92301,0.6484671532846715,0.14472992700729925,20530
92701,0.8778015910494388,0.5639507428529914,22690
92706,0.7050744097571893,0.4655645071052926,26297
92201,0.7161701609713051,0.43186866688981534,23762
92243,0.8476449347248125,0.5180349986111662,20396
92251,0.7626199415936588,0.24276178556528993,20969
92304,1.0,0.4347826086956522,-666666666
92338,inf,,-666666666
92411,0.7801559454191033,0.22331384015594535,18390
93635,0.7108790675084993,0.30660514813016027,26765
93640,0.9352941176470588,0.5044117647058823,15624
93646,0.9222184358493781,0.3078889078207532,15293
93647,0.8617515560620671,0.30279652844744454,18898
93657,0.6788257724443447,0.20226546290584868,27268
90602,0.7693209804151518,0.49841679371408465,27014
93703,0.6289002869878488,0.19194602185992554,18713
93725,0.6967002278239142,0.24454324979789815,20787
93452,0.7659574468085106,0.0,35817
93606,0.9516908212560387,0.0879227053140097,15058
93624,0.8117106773823192,0.4936854190585534,15000
93648,0.9760676322496425,0.18176167091440287,17026
93654,0.7154709775129227,0.1572778454548448,22062
93656,0.6960041336548398,0.359800206682742,24705
93015,0.7314469953860693,0.11284673967424541,27185
93202,0.6889772993213199,0.3112567282939387,24220
93223,0.8864315042926465,0.301418439716312,18632
93305,0.7267426521027914,0.2130758271331329,17761
93450,0.8096479791395046,0.34028683181225555,27692
93550,0.6756251128944856,0.4098392382525224,22521
93662,0.7975589910496339,0.14841334418226204,22839
93668,0.8146021328958163,0.46677604593929456,27339
93906,0.7545222850749052,0.5225803443774476,27098
93665,0.8297872340425532,0.2898936170212766,17302
93702,0.7682163253136396,0.19855049196119356,15420
93706,0.6732370768245207,0.2019661952397378,16358
93905,0.9360492970544019,0.6813368356709786,21844
95951,0.8540580789277736,0.15748324646314216,21887
95231,0.6303969022265247,0.1022265246853824,17245
95315,0.7517217630853994,0.5424242424242424,23489
95328,0.7950892857142857,0.18727678571428574,22881
95912,0.6801115241635688,0.08643122676579928,27295
95987,0.7463865546218488,0.07596638655462185,26531
95334,0.6924429852846339,0.4906490004103887,23842
95363,0.6321484878887774,0.08911423247814243,30353
94801,0.6042934956744633,0.36100608779237425,27356
95012,0.8636363636363636,0.57708719851577,22618
95250,inf,,-666666666
95365,0.970890052356021,0.4774869109947644,19333
90006,0.7307808513495367,0.44009332617161273,20029
90032,0.7817451229414336,0.4755678624221856,22796
90042,0.6250692323516845,0.3487253335021284,27219
95205,0.7141851368970012,0.19473272490221638,20518
95721,inf,,-666666666
95019,0.9047231270358306,0.4883279044516829,19128
90303,0.6165586280462788,0.32944941330926397,25626
90604,0.6869334203351122,0.4200554636340332,31552
90015,0.6200609244624962,0.367489294070902,24777
90003,0.7827885528278855,0.45621863556218634,20597
90023,0.9647172236503856,0.40087832047986294,19929
90262,0.8820318702506521,0.31259215152546216,23085
90058,0.9021339220014717,0.24319352465047828,18092
90062,0.6300534580688273,0.388044325648736,22846
90220,0.6120377908627904,0.30976768843364827,24348
90222,0.7299397590361446,0.34054216867469883,21936
90255,0.9708207254162279,0.3014036444100827,20632
90304,0.889655438217837,0.42831264934864716,22683
90640,0.7732185557149689,0.28028056751155744,25134
90650,0.6970485451644762,0.4267739117222518,27396
90002,0.7884694758170425,0.3626505572023564,19865
90011,0.9101155939369406,0.46858273737237444,19271
90033,0.9067846607669616,0.3626894517343098,19921
