zip_code,latino_percentage,non_white_latino_percentage,median_income
78407,0.6146449704142012,0.02144970414201186,22132
78516,0.9097742212060589,0.04592740783080884,18088
78549,0.9871287128712871,0.07227722772277223,13103
78552,0.7892906082006957,0.060293032570886584,22198
78558,1.0,0.04995102840352594,21982
78559,0.8988306299509619,0.05077329309694445,20740
78203,0.7516181229773463,0.19271844660194182,19824
78210,0.8272430538969827,0.23408433511132343,22042
78213,0.6939727311271283,0.050922723316894625,25281
78222,0.6037975185317319,0.08942799381614941,25006
78250,0.6279167815271854,0.07626197927645983,32712
78338,1.0,0.0,36667
78343,0.7297834732655767,0.07379584622182944,26560
78355,0.9202008928571429,0.08998325892857151,14387
78380,0.789835390946502,0.03744855967078187,23075
78390,0.7922514330895434,0.06364894247875075,21955
78405,0.9249618168537087,0.04017531044558065,18197
78411,0.6343941201369916,0.021972524723900433,30126
78576,0.9865094339622642,0.02330188679245293,11218
78578,0.7423547400611621,0.013931362555215765,22939
78586,0.9445248006773442,0.054381570591970685,16670
79835,0.9242668097281831,0.2755722460658083,19006
79848,0.6075334143377886,0.3171324422843257,23672
79902,0.7726873536299765,0.1715456674473067,19921
79904,0.7537692952016274,0.14852817996888834,20429
79853,0.9851201831362075,0.4448683708508203,17438
79930,0.8435123952328748,0.11613678961700324,19998
79009,0.8500570125427594,0.023945267958951022,24358
79035,0.6515922366685509,0.15300546448087426,34007
79064,0.6881763527054108,0.018036072144288484,22314
77502,0.8271158930862065,0.07539464383884398,25183
77547,0.8124937027707808,0.11234256926952135,22457
77020,0.7357058845847403,0.31031604507341504,20902
77037,0.9399451650321629,0.054413160392280946,22244
77503,0.6896162528216704,0.05413576265720732,25076
75858,inf,,-666666666
75211,0.8438055949465,0.07096815779296128,23361
79027,0.7056737588652482,0.081351689612015,30345
79231,1.0,0.0,-666666666
79230,0.7039106145251397,0.5810055865921788,21827
79314,0.75,0.0,16429
79343,0.6070588235294118,0.025882352941176467,25032
79855,0.7509487666034156,0.1907020872865275,16811
76943,0.6304093567251462,0.5748538011695906,31470
75493,0.8482428115015974,0.43450479233226835,23347
75390,inf,,-666666666
75780,0.8981481481481481,0.0,17083
75061,0.6760454878943507,0.29115920763022746,25756
78235,0.6415989159891599,0.04065040650406504,34904
78238,0.6895946999220577,0.03850350740452069,26669
78245,0.6550092788624898,0.08211139862516004,31409
78339,0.7476340694006309,0.0,26902
78359,0.8887202832574608,0.035407182599898834,21673
78361,0.9148496240601504,0.006766917293233088,19401
78369,0.9278846153846154,0.0,15644
78370,0.774232633279483,0.0726978998384491,23832
78385,0.9428571428571428,0.0019047619047618536,17098
78002,0.8147226693985072,0.09117517927703789,24323
78017,0.7347711557458018,0.08709252551860391,20691
78011,0.7837677725118484,0.0550947867298579,20118
78076,0.9399032926548468,0.05257502494435484,17458
78725,0.6239225410319991,0.4118550005903885,30733
78742,0.6042841037204059,0.25140924464487036,21694
78834,0.8611490259337387,0.0987715597468668,15977
78008,0.737527114967462,0.14750542299349245,40293
78375,0.8719078278549645,0.10132158590308371,21250
78371,0.9215686274509803,0.0,-666666666
78372,0.6266956958633395,0.0023446658851113966,22009
78376,0.9301470588235294,0.005514705882352922,28393
77587,0.9144612476370511,0.14963374291115317,20601
77009,0.6266633468890918,0.1838326832102249,31465
77034,0.7207825765965301,0.07380337147779015,26624
77074,0.6151593537995997,0.07521108887695838,23285
79043,0.7800528401585205,0.018494055482166427,21190
79032,0.673469387755102,0.020408163265306145,31776
